SampleID	Locus	Reads
SRR26819553	Pf3D7_01_v3-145388-145662-1A	13
SRR26819207	Pf3D7_01_v3-145388-145662-1A	4
SRR26819545	Pf3D7_01_v3-145388-145662-1A	22
SRR26819527	Pf3D7_01_v3-145388-145662-1A	1
SRR26819214	Pf3D7_01_v3-145388-145662-1A	14
SRR26819303	Pf3D7_01_v3-145388-145662-1A	13
SRR26819303	Pf3D7_01_v3-145388-145662-1A	15
SRR26819211	Pf3D7_01_v3-145388-145662-1A	21
SRR26819507	Pf3D7_01_v3-145388-145662-1A	7
SRR26819507	Pf3D7_01_v3-145388-145662-1A	11
SRR26819151	Pf3D7_01_v3-145388-145662-1A	3
SRR26819397	Pf3D7_01_v3-145388-145662-1A	72
SRR26819141	Pf3D7_01_v3-145388-145662-1A	16
SRR26819141	Pf3D7_01_v3-145388-145662-1A	34
SRR26819206	Pf3D7_01_v3-145388-145662-1A	2
SRR26819206	Pf3D7_01_v3-145388-145662-1A	17
SRR26819532	Pf3D7_01_v3-145388-145662-1A	13
SRR26819246	Pf3D7_01_v3-145388-145662-1A	13
SRR26819538	Pf3D7_01_v3-145388-145662-1A	11
SRR26819526	Pf3D7_01_v3-145388-145662-1A	5
SRR26819220	Pf3D7_01_v3-145388-145662-1A	2
SRR26819220	Pf3D7_01_v3-145388-145662-1A	1
SRR26819528	Pf3D7_01_v3-145388-145662-1A	10
SRR26819595	Pf3D7_01_v3-145388-145662-1A	12
SRR26819202	Pf3D7_01_v3-145388-145662-1A	62
SRR26819570	Pf3D7_01_v3-145388-145662-1A	15
SRR26819541	Pf3D7_01_v3-145388-145662-1A	3
SRR26819531	Pf3D7_01_v3-145388-145662-1A	13
SRR26819324	Pf3D7_01_v3-145388-145662-1A	25
SRR26819300	Pf3D7_01_v3-145388-145662-1A	26
SRR26819514	Pf3D7_01_v3-145388-145662-1A	14
SRR26819514	Pf3D7_01_v3-145388-145662-1A	7
SRR26819514	Pf3D7_01_v3-145388-145662-1A	2
SRR26819313	Pf3D7_01_v3-145388-145662-1A	6
SRR26819313	Pf3D7_01_v3-145388-145662-1A	6
SRR26819200	Pf3D7_01_v3-145388-145662-1A	35
SRR26819398	Pf3D7_01_v3-145388-145662-1A	64
SRR26819398	Pf3D7_01_v3-145388-145662-1A	14
SRR26819356	Pf3D7_01_v3-145388-145662-1A	14
SRR26819240	Pf3D7_01_v3-145388-145662-1A	11
SRR26819508	Pf3D7_01_v3-145388-145662-1A	7
SRR26819208	Pf3D7_01_v3-145388-145662-1A	2
SRR26819540	Pf3D7_01_v3-145388-145662-1A	9
SRR26819345	Pf3D7_01_v3-145388-145662-1A	22
SRR26819506	Pf3D7_01_v3-145388-145662-1A	16
SRR26819213	Pf3D7_01_v3-145388-145662-1A	2
SRR26819213	Pf3D7_01_v3-145388-145662-1A	8
SRR26819135	Pf3D7_01_v3-145388-145662-1A	54
SRR26819606	Pf3D7_01_v3-145388-145662-1A	14
SRR26819228	Pf3D7_01_v3-145388-145662-1A	18
SRR26819365	Pf3D7_01_v3-145388-145662-1A	42
SRR26819501	Pf3D7_01_v3-145388-145662-1A	15
SRR26819505	Pf3D7_01_v3-145388-145662-1A	2
SRR26819505	Pf3D7_01_v3-145388-145662-1A	17
SRR26819212	Pf3D7_01_v3-145388-145662-1A	7
SRR26819212	Pf3D7_01_v3-145388-145662-1A	6
SRR26819474	Pf3D7_01_v3-145388-145662-1A	8
SRR26819139	Pf3D7_01_v3-145388-145662-1A	28
SRR26819400	Pf3D7_01_v3-145388-145662-1A	4
SRR26819215	Pf3D7_01_v3-145388-145662-1A	2
SRR26819553	Pf3D7_01_v3-162867-163115-1A	54
SRR26819207	Pf3D7_01_v3-162867-163115-1A	44
SRR26819545	Pf3D7_01_v3-162867-163115-1A	224
SRR26819527	Pf3D7_01_v3-162867-163115-1A	33
SRR26819527	Pf3D7_01_v3-162867-163115-1A	14
SRR26819214	Pf3D7_01_v3-162867-163115-1A	46
SRR26819214	Pf3D7_01_v3-162867-163115-1A	193
SRR26819303	Pf3D7_01_v3-162867-163115-1A	212
SRR26819303	Pf3D7_01_v3-162867-163115-1A	137
SRR26819211	Pf3D7_01_v3-162867-163115-1A	186
SRR26819507	Pf3D7_01_v3-162867-163115-1A	10
SRR26819507	Pf3D7_01_v3-162867-163115-1A	245
SRR26819151	Pf3D7_01_v3-162867-163115-1A	100
SRR26819397	Pf3D7_01_v3-162867-163115-1A	348
SRR26819546	Pf3D7_01_v3-162867-163115-1A	54
SRR26819141	Pf3D7_01_v3-162867-163115-1A	97
SRR26819141	Pf3D7_01_v3-162867-163115-1A	79
SRR26819141	Pf3D7_01_v3-162867-163115-1A	3
SRR26819141	Pf3D7_01_v3-162867-163115-1A	96
SRR26819206	Pf3D7_01_v3-162867-163115-1A	20
SRR26819206	Pf3D7_01_v3-162867-163115-1A	293
SRR26819532	Pf3D7_01_v3-162867-163115-1A	164
SRR26819246	Pf3D7_01_v3-162867-163115-1A	283
SRR26819538	Pf3D7_01_v3-162867-163115-1A	218
SRR26819526	Pf3D7_01_v3-162867-163115-1A	86
SRR26819220	Pf3D7_01_v3-162867-163115-1A	45
SRR26819220	Pf3D7_01_v3-162867-163115-1A	2
SRR26819220	Pf3D7_01_v3-162867-163115-1A	105
SRR26819528	Pf3D7_01_v3-162867-163115-1A	209
SRR26819595	Pf3D7_01_v3-162867-163115-1A	167
SRR26819202	Pf3D7_01_v3-162867-163115-1A	208
SRR26819202	Pf3D7_01_v3-162867-163115-1A	168
SRR26819202	Pf3D7_01_v3-162867-163115-1A	7
SRR26819570	Pf3D7_01_v3-162867-163115-1A	59
SRR26819570	Pf3D7_01_v3-162867-163115-1A	90
SRR26819541	Pf3D7_01_v3-162867-163115-1A	63
SRR26819531	Pf3D7_01_v3-162867-163115-1A	183
SRR26819324	Pf3D7_01_v3-162867-163115-1A	113
SRR26819324	Pf3D7_01_v3-162867-163115-1A	140
SRR26819300	Pf3D7_01_v3-162867-163115-1A	195
SRR26819514	Pf3D7_01_v3-162867-163115-1A	58
SRR26819514	Pf3D7_01_v3-162867-163115-1A	99
SRR26819514	Pf3D7_01_v3-162867-163115-1A	9
SRR26819514	Pf3D7_01_v3-162867-163115-1A	84
SRR26819313	Pf3D7_01_v3-162867-163115-1A	31
SRR26819313	Pf3D7_01_v3-162867-163115-1A	8
SRR26819313	Pf3D7_01_v3-162867-163115-1A	3
SRR26819313	Pf3D7_01_v3-162867-163115-1A	101
SRR26819200	Pf3D7_01_v3-162867-163115-1A	42
SRR26819398	Pf3D7_01_v3-162867-163115-1A	51
SRR26819398	Pf3D7_01_v3-162867-163115-1A	327
SRR26819356	Pf3D7_01_v3-162867-163115-1A	135
SRR26819240	Pf3D7_01_v3-162867-163115-1A	50
SRR26819240	Pf3D7_01_v3-162867-163115-1A	57
SRR26819508	Pf3D7_01_v3-162867-163115-1A	5
SRR26819508	Pf3D7_01_v3-162867-163115-1A	93
SRR26819208	Pf3D7_01_v3-162867-163115-1A	2
SRR26819208	Pf3D7_01_v3-162867-163115-1A	50
SRR26819540	Pf3D7_01_v3-162867-163115-1A	186
SRR26819345	Pf3D7_01_v3-162867-163115-1A	309
SRR26819506	Pf3D7_01_v3-162867-163115-1A	282
SRR26819213	Pf3D7_01_v3-162867-163115-1A	29
SRR26819213	Pf3D7_01_v3-162867-163115-1A	216
SRR26819213	Pf3D7_01_v3-162867-163115-1A	3
SRR26819213	Pf3D7_01_v3-162867-163115-1A	4
SRR26819135	Pf3D7_01_v3-162867-163115-1A	398
SRR26819606	Pf3D7_01_v3-162867-163115-1A	243
SRR26819228	Pf3D7_01_v3-162867-163115-1A	306
SRR26819365	Pf3D7_01_v3-162867-163115-1A	396
SRR26819501	Pf3D7_01_v3-162867-163115-1A	249
SRR26819505	Pf3D7_01_v3-162867-163115-1A	125
SRR26819212	Pf3D7_01_v3-162867-163115-1A	196
SRR26819474	Pf3D7_01_v3-162867-163115-1A	10
SRR26819474	Pf3D7_01_v3-162867-163115-1A	106
SRR26819139	Pf3D7_01_v3-162867-163115-1A	312
SRR26819400	Pf3D7_01_v3-162867-163115-1A	10
SRR26819400	Pf3D7_01_v3-162867-163115-1A	34
SRR26819215	Pf3D7_01_v3-162867-163115-1A	153
SRR26819553	Pf3D7_01_v3-181512-181761-1A	55
SRR26819207	Pf3D7_01_v3-181512-181761-1A	130
SRR26819545	Pf3D7_01_v3-181512-181761-1A	79
SRR26819527	Pf3D7_01_v3-181512-181761-1A	30
SRR26819527	Pf3D7_01_v3-181512-181761-1A	80
SRR26819527	Pf3D7_01_v3-181512-181761-1A	19
SRR26819527	Pf3D7_01_v3-181512-181761-1A	3
SRR26819214	Pf3D7_01_v3-181512-181761-1A	23
SRR26819214	Pf3D7_01_v3-181512-181761-1A	156
SRR26819303	Pf3D7_01_v3-181512-181761-1A	71
SRR26819303	Pf3D7_01_v3-181512-181761-1A	118
SRR26819211	Pf3D7_01_v3-181512-181761-1A	139
SRR26819507	Pf3D7_01_v3-181512-181761-1A	194
SRR26819507	Pf3D7_01_v3-181512-181761-1A	4
SRR26819151	Pf3D7_01_v3-181512-181761-1A	204
SRR26819397	Pf3D7_01_v3-181512-181761-1A	241
SRR26819546	Pf3D7_01_v3-181512-181761-1A	9
SRR26819546	Pf3D7_01_v3-181512-181761-1A	87
SRR26819141	Pf3D7_01_v3-181512-181761-1A	48
SRR26819141	Pf3D7_01_v3-181512-181761-1A	151
SRR26819206	Pf3D7_01_v3-181512-181761-1A	207
SRR26819206	Pf3D7_01_v3-181512-181761-1A	20
SRR26819532	Pf3D7_01_v3-181512-181761-1A	137
SRR26819532	Pf3D7_01_v3-181512-181761-1A	2
SRR26819246	Pf3D7_01_v3-181512-181761-1A	178
SRR26819538	Pf3D7_01_v3-181512-181761-1A	162
SRR26819526	Pf3D7_01_v3-181512-181761-1A	183
SRR26819220	Pf3D7_01_v3-181512-181761-1A	60
SRR26819220	Pf3D7_01_v3-181512-181761-1A	89
SRR26819528	Pf3D7_01_v3-181512-181761-1A	127
SRR26819595	Pf3D7_01_v3-181512-181761-1A	213
SRR26819202	Pf3D7_01_v3-181512-181761-1A	128
SRR26819202	Pf3D7_01_v3-181512-181761-1A	143
SRR26819570	Pf3D7_01_v3-181512-181761-1A	103
SRR26819570	Pf3D7_01_v3-181512-181761-1A	52
SRR26819541	Pf3D7_01_v3-181512-181761-1A	151
SRR26819531	Pf3D7_01_v3-181512-181761-1A	140
SRR26819324	Pf3D7_01_v3-181512-181761-1A	199
SRR26819300	Pf3D7_01_v3-181512-181761-1A	169
SRR26819514	Pf3D7_01_v3-181512-181761-1A	88
SRR26819514	Pf3D7_01_v3-181512-181761-1A	54
SRR26819514	Pf3D7_01_v3-181512-181761-1A	55
SRR26819514	Pf3D7_01_v3-181512-181761-1A	30
SRR26819313	Pf3D7_01_v3-181512-181761-1A	76
SRR26819313	Pf3D7_01_v3-181512-181761-1A	17
SRR26819313	Pf3D7_01_v3-181512-181761-1A	83
SRR26819313	Pf3D7_01_v3-181512-181761-1A	1
SRR26819200	Pf3D7_01_v3-181512-181761-1A	193
SRR26819398	Pf3D7_01_v3-181512-181761-1A	24
SRR26819398	Pf3D7_01_v3-181512-181761-1A	12
SRR26819398	Pf3D7_01_v3-181512-181761-1A	45
SRR26819398	Pf3D7_01_v3-181512-181761-1A	107
SRR26819356	Pf3D7_01_v3-181512-181761-1A	160
SRR26819240	Pf3D7_01_v3-181512-181761-1A	34
SRR26819240	Pf3D7_01_v3-181512-181761-1A	243
SRR26819508	Pf3D7_01_v3-181512-181761-1A	214
SRR26819208	Pf3D7_01_v3-181512-181761-1A	89
SRR26819540	Pf3D7_01_v3-181512-181761-1A	115
SRR26819345	Pf3D7_01_v3-181512-181761-1A	278
SRR26819506	Pf3D7_01_v3-181512-181761-1A	191
SRR26819213	Pf3D7_01_v3-181512-181761-1A	115
SRR26819213	Pf3D7_01_v3-181512-181761-1A	17
SRR26819135	Pf3D7_01_v3-181512-181761-1A	266
SRR26819606	Pf3D7_01_v3-181512-181761-1A	168
SRR26819228	Pf3D7_01_v3-181512-181761-1A	237
SRR26819365	Pf3D7_01_v3-181512-181761-1A	235
SRR26819501	Pf3D7_01_v3-181512-181761-1A	194
SRR26819505	Pf3D7_01_v3-181512-181761-1A	11
SRR26819505	Pf3D7_01_v3-181512-181761-1A	132
SRR26819505	Pf3D7_01_v3-181512-181761-1A	85
SRR26819212	Pf3D7_01_v3-181512-181761-1A	75
SRR26819212	Pf3D7_01_v3-181512-181761-1A	49
SRR26819212	Pf3D7_01_v3-181512-181761-1A	3
SRR26819474	Pf3D7_01_v3-181512-181761-1A	176
SRR26819474	Pf3D7_01_v3-181512-181761-1A	16
SRR26819139	Pf3D7_01_v3-181512-181761-1A	216
SRR26819400	Pf3D7_01_v3-181512-181761-1A	2
SRR26819400	Pf3D7_01_v3-181512-181761-1A	12
SRR26819400	Pf3D7_01_v3-181512-181761-1A	88
SRR26819400	Pf3D7_01_v3-181512-181761-1A	1
SRR26819215	Pf3D7_01_v3-181512-181761-1A	201
SRR26819553	Pf3D7_01_v3-194742-194973-1B	45
SRR26819207	Pf3D7_01_v3-194742-194973-1B	370
SRR26819545	Pf3D7_01_v3-194742-194973-1B	286
SRR26819527	Pf3D7_01_v3-194742-194973-1B	53
SRR26819527	Pf3D7_01_v3-194742-194973-1B	49
SRR26819527	Pf3D7_01_v3-194742-194973-1B	104
SRR26819527	Pf3D7_01_v3-194742-194973-1B	160
SRR26819214	Pf3D7_01_v3-194742-194973-1B	308
SRR26819214	Pf3D7_01_v3-194742-194973-1B	50
SRR26819303	Pf3D7_01_v3-194742-194973-1B	204
SRR26819211	Pf3D7_01_v3-194742-194973-1B	316
SRR26819211	Pf3D7_01_v3-194742-194973-1B	6
SRR26819507	Pf3D7_01_v3-194742-194973-1B	184
SRR26819507	Pf3D7_01_v3-194742-194973-1B	279
SRR26819151	Pf3D7_01_v3-194742-194973-1B	407
SRR26819397	Pf3D7_01_v3-194742-194973-1B	170
SRR26819546	Pf3D7_01_v3-194742-194973-1B	280
SRR26819546	Pf3D7_01_v3-194742-194973-1B	1
SRR26819141	Pf3D7_01_v3-194742-194973-1B	221
SRR26819206	Pf3D7_01_v3-194742-194973-1B	548
SRR26819532	Pf3D7_01_v3-194742-194973-1B	253
SRR26819246	Pf3D7_01_v3-194742-194973-1B	259
SRR26819538	Pf3D7_01_v3-194742-194973-1B	252
SRR26819526	Pf3D7_01_v3-194742-194973-1B	291
SRR26819220	Pf3D7_01_v3-194742-194973-1B	161
SRR26819220	Pf3D7_01_v3-194742-194973-1B	136
SRR26819528	Pf3D7_01_v3-194742-194973-1B	399
SRR26819595	Pf3D7_01_v3-194742-194973-1B	570
SRR26819595	Pf3D7_01_v3-194742-194973-1B	3
SRR26819202	Pf3D7_01_v3-194742-194973-1B	282
SRR26819202	Pf3D7_01_v3-194742-194973-1B	240
SRR26819570	Pf3D7_01_v3-194742-194973-1B	20
SRR26819541	Pf3D7_01_v3-194742-194973-1B	288
SRR26819531	Pf3D7_01_v3-194742-194973-1B	2
SRR26819531	Pf3D7_01_v3-194742-194973-1B	272
SRR26819324	Pf3D7_01_v3-194742-194973-1B	175
SRR26819324	Pf3D7_01_v3-194742-194973-1B	235
SRR26819300	Pf3D7_01_v3-194742-194973-1B	370
SRR26819514	Pf3D7_01_v3-194742-194973-1B	126
SRR26819514	Pf3D7_01_v3-194742-194973-1B	96
SRR26819514	Pf3D7_01_v3-194742-194973-1B	27
SRR26819514	Pf3D7_01_v3-194742-194973-1B	12
SRR26819313	Pf3D7_01_v3-194742-194973-1B	39
SRR26819313	Pf3D7_01_v3-194742-194973-1B	51
SRR26819313	Pf3D7_01_v3-194742-194973-1B	368
SRR26819313	Pf3D7_01_v3-194742-194973-1B	136
SRR26819200	Pf3D7_01_v3-194742-194973-1B	580
SRR26819398	Pf3D7_01_v3-194742-194973-1B	58
SRR26819398	Pf3D7_01_v3-194742-194973-1B	34
SRR26819398	Pf3D7_01_v3-194742-194973-1B	22
SRR26819398	Pf3D7_01_v3-194742-194973-1B	188
SRR26819356	Pf3D7_01_v3-194742-194973-1B	751
SRR26819240	Pf3D7_01_v3-194742-194973-1B	82
SRR26819240	Pf3D7_01_v3-194742-194973-1B	59
SRR26819240	Pf3D7_01_v3-194742-194973-1B	403
SRR26819508	Pf3D7_01_v3-194742-194973-1B	511
SRR26819208	Pf3D7_01_v3-194742-194973-1B	207
SRR26819540	Pf3D7_01_v3-194742-194973-1B	482
SRR26819345	Pf3D7_01_v3-194742-194973-1B	616
SRR26819506	Pf3D7_01_v3-194742-194973-1B	543
SRR26819213	Pf3D7_01_v3-194742-194973-1B	41
SRR26819213	Pf3D7_01_v3-194742-194973-1B	4
SRR26819213	Pf3D7_01_v3-194742-194973-1B	336
SRR26819213	Pf3D7_01_v3-194742-194973-1B	84
SRR26819135	Pf3D7_01_v3-194742-194973-1B	241
SRR26819606	Pf3D7_01_v3-194742-194973-1B	666
SRR26819228	Pf3D7_01_v3-194742-194973-1B	406
SRR26819228	Pf3D7_01_v3-194742-194973-1B	2
SRR26819365	Pf3D7_01_v3-194742-194973-1B	455
SRR26819501	Pf3D7_01_v3-194742-194973-1B	439
SRR26819505	Pf3D7_01_v3-194742-194973-1B	214
SRR26819505	Pf3D7_01_v3-194742-194973-1B	218
SRR26819505	Pf3D7_01_v3-194742-194973-1B	23
SRR26819505	Pf3D7_01_v3-194742-194973-1B	16
SRR26819212	Pf3D7_01_v3-194742-194973-1B	411
SRR26819474	Pf3D7_01_v3-194742-194973-1B	597
SRR26819139	Pf3D7_01_v3-194742-194973-1B	287
SRR26819400	Pf3D7_01_v3-194742-194973-1B	437
SRR26819400	Pf3D7_01_v3-194742-194973-1B	2
SRR26819400	Pf3D7_01_v3-194742-194973-1B	7
SRR26819215	Pf3D7_01_v3-194742-194973-1B	230
SRR26819553	Pf3D7_01_v3-455794-456054-1A	13
SRR26819207	Pf3D7_01_v3-455794-456054-1A	1
SRR26819545	Pf3D7_01_v3-455794-456054-1A	31
SRR26819527	Pf3D7_01_v3-455794-456054-1A	3
SRR26819214	Pf3D7_01_v3-455794-456054-1A	32
SRR26819214	Pf3D7_01_v3-455794-456054-1A	4
SRR26819303	Pf3D7_01_v3-455794-456054-1A	41
SRR26819211	Pf3D7_01_v3-455794-456054-1A	30
SRR26819507	Pf3D7_01_v3-455794-456054-1A	11
SRR26819507	Pf3D7_01_v3-455794-456054-1A	3
SRR26819151	Pf3D7_01_v3-455794-456054-1A	4
SRR26819397	Pf3D7_01_v3-455794-456054-1A	106
SRR26819546	Pf3D7_01_v3-455794-456054-1A	6
SRR26819141	Pf3D7_01_v3-455794-456054-1A	88
SRR26819206	Pf3D7_01_v3-455794-456054-1A	20
SRR26819532	Pf3D7_01_v3-455794-456054-1A	14
SRR26819246	Pf3D7_01_v3-455794-456054-1A	26
SRR26819538	Pf3D7_01_v3-455794-456054-1A	16
SRR26819526	Pf3D7_01_v3-455794-456054-1A	5
SRR26819220	Pf3D7_01_v3-455794-456054-1A	7
SRR26819528	Pf3D7_01_v3-455794-456054-1A	33
SRR26819595	Pf3D7_01_v3-455794-456054-1A	8
SRR26819202	Pf3D7_01_v3-455794-456054-1A	14
SRR26819202	Pf3D7_01_v3-455794-456054-1A	20
SRR26819202	Pf3D7_01_v3-455794-456054-1A	13
SRR26819570	Pf3D7_01_v3-455794-456054-1A	19
SRR26819570	Pf3D7_01_v3-455794-456054-1A	14
SRR26819541	Pf3D7_01_v3-455794-456054-1A	1
SRR26819531	Pf3D7_01_v3-455794-456054-1A	25
SRR26819324	Pf3D7_01_v3-455794-456054-1A	57
SRR26819300	Pf3D7_01_v3-455794-456054-1A	75
SRR26819514	Pf3D7_01_v3-455794-456054-1A	9
SRR26819514	Pf3D7_01_v3-455794-456054-1A	10
SRR26819313	Pf3D7_01_v3-455794-456054-1A	12
SRR26819200	Pf3D7_01_v3-455794-456054-1A	49
SRR26819398	Pf3D7_01_v3-455794-456054-1A	103
SRR26819356	Pf3D7_01_v3-455794-456054-1A	10
SRR26819240	Pf3D7_01_v3-455794-456054-1A	17
SRR26819508	Pf3D7_01_v3-455794-456054-1A	21
SRR26819208	Pf3D7_01_v3-455794-456054-1A	6
SRR26819540	Pf3D7_01_v3-455794-456054-1A	14
SRR26819345	Pf3D7_01_v3-455794-456054-1A	25
SRR26819506	Pf3D7_01_v3-455794-456054-1A	21
SRR26819213	Pf3D7_01_v3-455794-456054-1A	16
SRR26819135	Pf3D7_01_v3-455794-456054-1A	80
SRR26819606	Pf3D7_01_v3-455794-456054-1A	15
SRR26819228	Pf3D7_01_v3-455794-456054-1A	26
SRR26819365	Pf3D7_01_v3-455794-456054-1A	48
SRR26819501	Pf3D7_01_v3-455794-456054-1A	25
SRR26819505	Pf3D7_01_v3-455794-456054-1A	25
SRR26819212	Pf3D7_01_v3-455794-456054-1A	26
SRR26819474	Pf3D7_01_v3-455794-456054-1A	6
SRR26819474	Pf3D7_01_v3-455794-456054-1A	18
SRR26819139	Pf3D7_01_v3-455794-456054-1A	70
SRR26819400	Pf3D7_01_v3-455794-456054-1A	6
SRR26819215	Pf3D7_01_v3-455794-456054-1A	1
SRR26819553	Pf3D7_01_v3-528859-529104-1A	65
SRR26819207	Pf3D7_01_v3-528859-529104-1A	812
SRR26819545	Pf3D7_01_v3-528859-529104-1A	434
SRR26819527	Pf3D7_01_v3-528859-529104-1A	365
SRR26819527	Pf3D7_01_v3-528859-529104-1A	22
SRR26819527	Pf3D7_01_v3-528859-529104-1A	215
SRR26819527	Pf3D7_01_v3-528859-529104-1A	109
SRR26819527	Pf3D7_01_v3-528859-529104-1A	1
SRR26819527	Pf3D7_01_v3-528859-529104-1A	125
SRR26819214	Pf3D7_01_v3-528859-529104-1A	434
SRR26819214	Pf3D7_01_v3-528859-529104-1A	10
SRR26819214	Pf3D7_01_v3-528859-529104-1A	11
SRR26819214	Pf3D7_01_v3-528859-529104-1A	50
SRR26819303	Pf3D7_01_v3-528859-529104-1A	2
SRR26819303	Pf3D7_01_v3-528859-529104-1A	185
SRR26819303	Pf3D7_01_v3-528859-529104-1A	253
SRR26819211	Pf3D7_01_v3-528859-529104-1A	26
SRR26819211	Pf3D7_01_v3-528859-529104-1A	421
SRR26819507	Pf3D7_01_v3-528859-529104-1A	37
SRR26819507	Pf3D7_01_v3-528859-529104-1A	534
SRR26819507	Pf3D7_01_v3-528859-529104-1A	11
SRR26819507	Pf3D7_01_v3-528859-529104-1A	7
SRR26819151	Pf3D7_01_v3-528859-529104-1A	133
SRR26819151	Pf3D7_01_v3-528859-529104-1A	755
SRR26819397	Pf3D7_01_v3-528859-529104-1A	403
SRR26819546	Pf3D7_01_v3-528859-529104-1A	11
SRR26819546	Pf3D7_01_v3-528859-529104-1A	17
SRR26819546	Pf3D7_01_v3-528859-529104-1A	779
SRR26819546	Pf3D7_01_v3-528859-529104-1A	14
SRR26819141	Pf3D7_01_v3-528859-529104-1A	56
SRR26819141	Pf3D7_01_v3-528859-529104-1A	93
SRR26819141	Pf3D7_01_v3-528859-529104-1A	5
SRR26819141	Pf3D7_01_v3-528859-529104-1A	85
SRR26819141	Pf3D7_01_v3-528859-529104-1A	128
SRR26819141	Pf3D7_01_v3-528859-529104-1A	3
SRR26819206	Pf3D7_01_v3-528859-529104-1A	621
SRR26819206	Pf3D7_01_v3-528859-529104-1A	72
SRR26819532	Pf3D7_01_v3-528859-529104-1A	576
SRR26819532	Pf3D7_01_v3-528859-529104-1A	6
SRR26819246	Pf3D7_01_v3-528859-529104-1A	58
SRR26819246	Pf3D7_01_v3-528859-529104-1A	476
SRR26819538	Pf3D7_01_v3-528859-529104-1A	3
SRR26819538	Pf3D7_01_v3-528859-529104-1A	49
SRR26819526	Pf3D7_01_v3-528859-529104-1A	659
SRR26819220	Pf3D7_01_v3-528859-529104-1A	295
SRR26819220	Pf3D7_01_v3-528859-529104-1A	336
SRR26819528	Pf3D7_01_v3-528859-529104-1A	241
SRR26819528	Pf3D7_01_v3-528859-529104-1A	282
SRR26819595	Pf3D7_01_v3-528859-529104-1A	781
SRR26819202	Pf3D7_01_v3-528859-529104-1A	250
SRR26819202	Pf3D7_01_v3-528859-529104-1A	2
SRR26819202	Pf3D7_01_v3-528859-529104-1A	142
SRR26819202	Pf3D7_01_v3-528859-529104-1A	102
SRR26819570	Pf3D7_01_v3-528859-529104-1A	109
SRR26819570	Pf3D7_01_v3-528859-529104-1A	155
SRR26819541	Pf3D7_01_v3-528859-529104-1A	715
SRR26819531	Pf3D7_01_v3-528859-529104-1A	380
SRR26819324	Pf3D7_01_v3-528859-529104-1A	3
SRR26819324	Pf3D7_01_v3-528859-529104-1A	211
SRR26819324	Pf3D7_01_v3-528859-529104-1A	346
SRR26819324	Pf3D7_01_v3-528859-529104-1A	1
SRR26819300	Pf3D7_01_v3-528859-529104-1A	504
SRR26819514	Pf3D7_01_v3-528859-529104-1A	330
SRR26819514	Pf3D7_01_v3-528859-529104-1A	134
SRR26819514	Pf3D7_01_v3-528859-529104-1A	10
SRR26819514	Pf3D7_01_v3-528859-529104-1A	53
SRR26819514	Pf3D7_01_v3-528859-529104-1A	75
SRR26819514	Pf3D7_01_v3-528859-529104-1A	23
SRR26819313	Pf3D7_01_v3-528859-529104-1A	164
SRR26819313	Pf3D7_01_v3-528859-529104-1A	209
SRR26819313	Pf3D7_01_v3-528859-529104-1A	111
SRR26819313	Pf3D7_01_v3-528859-529104-1A	293
SRR26819200	Pf3D7_01_v3-528859-529104-1A	491
SRR26819398	Pf3D7_01_v3-528859-529104-1A	72
SRR26819398	Pf3D7_01_v3-528859-529104-1A	8
SRR26819398	Pf3D7_01_v3-528859-529104-1A	51
SRR26819398	Pf3D7_01_v3-528859-529104-1A	235
SRR26819356	Pf3D7_01_v3-528859-529104-1A	664
SRR26819240	Pf3D7_01_v3-528859-529104-1A	796
SRR26819240	Pf3D7_01_v3-528859-529104-1A	154
SRR26819240	Pf3D7_01_v3-528859-529104-1A	44
SRR26819508	Pf3D7_01_v3-528859-529104-1A	757
SRR26819508	Pf3D7_01_v3-528859-529104-1A	34
SRR26819208	Pf3D7_01_v3-528859-529104-1A	13
SRR26819208	Pf3D7_01_v3-528859-529104-1A	550
SRR26819540	Pf3D7_01_v3-528859-529104-1A	709
SRR26819345	Pf3D7_01_v3-528859-529104-1A	756
SRR26819345	Pf3D7_01_v3-528859-529104-1A	7
SRR26819506	Pf3D7_01_v3-528859-529104-1A	618
SRR26819213	Pf3D7_01_v3-528859-529104-1A	100
SRR26819213	Pf3D7_01_v3-528859-529104-1A	451
SRR26819213	Pf3D7_01_v3-528859-529104-1A	28
SRR26819135	Pf3D7_01_v3-528859-529104-1A	485
SRR26819606	Pf3D7_01_v3-528859-529104-1A	703
SRR26819228	Pf3D7_01_v3-528859-529104-1A	601
SRR26819365	Pf3D7_01_v3-528859-529104-1A	563
SRR26819501	Pf3D7_01_v3-528859-529104-1A	600
SRR26819505	Pf3D7_01_v3-528859-529104-1A	236
SRR26819505	Pf3D7_01_v3-528859-529104-1A	23
SRR26819505	Pf3D7_01_v3-528859-529104-1A	266
SRR26819505	Pf3D7_01_v3-528859-529104-1A	17
SRR26819212	Pf3D7_01_v3-528859-529104-1A	480
SRR26819474	Pf3D7_01_v3-528859-529104-1A	45
SRR26819474	Pf3D7_01_v3-528859-529104-1A	723
SRR26819474	Pf3D7_01_v3-528859-529104-1A	28
SRR26819139	Pf3D7_01_v3-528859-529104-1A	399
SRR26819400	Pf3D7_01_v3-528859-529104-1A	43
SRR26819400	Pf3D7_01_v3-528859-529104-1A	36
SRR26819400	Pf3D7_01_v3-528859-529104-1A	1
SRR26819400	Pf3D7_01_v3-528859-529104-1A	451
